genes,APC1320ko,RKO_CM,RKO_RSPO1mut_CM,WTko,APC1320_CRISPRa,WT_CRISPRa
ACTN3,0.040516984,0.163095176,-0.418721938,-0.308867018,-0.511326422,0.002152661
ACTN4,-0.630403136,0.005258267,0.310554261,0.288641266,0.784690389,0.418713072
ACTR10,-0.517452735,0.425030966,0.383056023,-0.09504838,-0.423091191,-0.494479419
ACTR1A,-0.032495627,0.396597924,0.026749646,0.176349974,-0.349294654,-0.433598083
ACTR1B,0.03382152,0.073168687,0.526687735,0.056507091,0.418966833,0.347734433
ACTR2,1.015723325,2.147940177,2.933598106,1.588135481,-0.213397133,0.000485834
ACTR3,0.594147151,1.347962084,1.841151258,0.463087419,0.128269869,0.664123389
ACTR3B,0.540542174,-0.645011083,-0.416997136,-0.654437461,0.226373552,-0.290685964
ACTR3C,0.600584747,-0.717324953,-1.361723013,-0.243791137,0.353991254,-0.051953021
ACTR5,-4.050879221,0.230712967,-0.061549684,-0.925191669,0.087466537,-0.411592597
ACTR6,0.917100967,0.393062415,0.815643758,0.696408831,0.296088369,0.612551203
ACTR8,-0.079631573,1.510533612,1.424071143,0.671101125,-0.028583834,0.048152059
ACTRT1,-0.27959811,0.579200558,-0.006303889,0.479077964,0.088814197,-0.100577156
ACTRT2,-0.347458013,0.505530151,0.118795323,0.376475218,0.320929975,1.248263793
ACTRT3,-0.956451444,0.245004926,0.150350876,-0.194750964,0.110856679,-0.253334355
ACVR1,-1.532546476,0.248685353,0.550016904,-0.316866487,-0.217406917,0.480488964
ACVR1B,-0.709068579,-0.054352823,0.186669063,0.029470096,0.010165511,-0.248583257
ACVR1C,0.590504735,-0.127570084,0.03769358,-0.171609125,0.523737683,0.533300797
ACVR2A,-0.074863528,-0.023255333,0.417716484,0.22830498,-0.574161075,-0.360293466
ACVR2B,-0.561877944,-0.445752278,0.246669968,-0.286744563,-0.090499373,0.854657845
ACVRL1,-0.32652088,-0.257491424,0.253963287,-0.34759109,0.226893837,0.17722548
ACY1,0.654928968,0.090716529,0.138700275,0.481509561,0.407999542,0.453465662
ACY3,0.252774237,0.624456304,0.18765825,0.226242014,0.05285556,0.062960509
ACYP1,-0.103147192,0.700467356,0.044103315,-0.242494254,0.220192209,-0.306959775
ACYP2,1.286085596,-0.559433773,-0.069284401,-0.040223478,-0.448802027,-0.173834118
ADA,-0.136673178,0.175801044,-0.022002905,0.461847491,-0.371857949,-0.083935381
ADAD1,0.158905398,-0.204335786,0.104960392,0.066944287,0.07914772,-0.080245373
ADAD2,-0.569866173,-0.155396224,-0.188808767,-0.460108797,0.132249721,0.749801254
ADAL,-0.218076359,0.020425786,0.191678345,-0.326860758,0.090675378,-0.13311186
ADAM10,1.231251372,0.517372086,0.36560808,0.519307861,-0.083677028,-0.50690709
ADAM11,0.017203625,-0.240805777,0.155608596,0.228224147,0.105402681,-0.098581203
ADAM12,0.597514938,-0.694764607,-0.608569993,0.095152162,0.447556025,-0.015922732
ADAM15,0.588997059,0.083475584,-0.269308572,-0.237484229,0.129994868,-0.252077747
ADAM17,-0.01248743,-0.804064083,0.061755951,-0.08297996,0.502979318,0.657682543
ADAM18,0.120020961,0.201359264,-0.154799403,-0.17460961,0.859033645,0.567037998
ADAM19,0.607931673,0.079325504,-0.732878101,-0.322970725,-0.290857446,0.114159219
ADAM2,0.084514868,0.367802939,0.309730932,-0.025266537,1.097006646,0.3457108
ADAM20,-0.10187955,0.545192925,0.126681585,-0.134982461,0.953040814,0.39750448
ADAM21,0.35108453,0.002803064,-0.257269246,-0.318539986,-0.205030752,-0.268441228
ADAM22,-0.051743931,-0.255007579,-0.297090236,-0.4633712,0.326421908,0.046347321
ADAM23,-0.082911133,0.512133829,0.681181102,-0.548291415,-0.530989242,-0.182138132
ADAM28,-0.543271882,-0.145479602,0.334313532,0.453404852,-0.204520573,-0.177483055
ADAM29,0.051593126,0.072734609,0.413614743,0.237384125,-0.179042441,-0.32120606
ADAM30,0.312051123,0.029235517,0.102434031,0.381288752,0.395127366,0.039072279
ADAM32,-0.247969325,0.314264582,0.575828311,0.400473877,0.172316343,-0.544241809
ADAM33,0.174855363,-0.178294473,-0.040916963,-0.093320399,-0.041627698,0.264197909
ADAM7,0.206049129,0.101357314,0.04589044,-0.465156073,0.234276056,-0.283616738
ADAM8,-0.076363486,-0.237514011,-0.328727749,0.168143327,-0.210682083,0.049933194
ADAM9,-0.487600075,0.302751609,-0.199451925,-0.261786346,0.026345694,0.007704735
ADAMDEC1,-0.351113364,0.025658127,-0.16314376,-0.229568009,0.076399083,-0.339951588
ADAMTS1,0.161131215,-0.327513102,-0.436112669,-0.624579185,0.125349059,0.356232041
ADAMTS10,-0.225996349,-0.617618282,-0.579434136,-0.625699904,-0.860743761,0.174931073
ADAMTS12,-0.773911985,-0.351806699,-0.031983281,-0.947014539,0.393118576,0.058338205
ADAMTS13,-0.405222359,-0.957903073,-0.272819266,-0.5497222,-0.349888763,0.122014268
